PASSENGERS,FREIGHT,MAIL,DISTANCE,UNIQUE_CARRIER,AIRLINE_ID,UNIQUE_CARRIER_NAME,UNIQUE_CARRIER_ENTITY,REGION,CARRIER,CARRIER_NAME,CARRIER_GROUP,CARRIER_GROUP_NEW,ORIGIN_AIRPORT_ID,ORIGIN_AIRPORT_SEQ_ID,ORIGIN_CITY_MARKET_ID,ORIGIN,ORIGIN_CITY_NAME,ORIGIN_STATE_ABR,ORIGIN_STATE_FIPS,ORIGIN_STATE_NM,ORIGIN_WAC,DEST_AIRPORT_ID,DEST_AIRPORT_SEQ_ID,DEST_CITY_MARKET_ID,DEST,DEST_CITY_NAME,DEST_STATE_ABR,DEST_STATE_FIPS,DEST_STATE_NM,DEST_WAC,YEAR,QUARTER,MONTH,DISTANCE_GROUP,CLASS
0.00,0.00,0.00,0.00,37Q,21875,"Eastern Air Express, LLC (EAX)",01226,D,37Q,"Eastern Air Express, LLC (EAX)",2,2,13303,1330304,32467,MIA,"Miami, FL",FL,12,Florida,33,13303,1330304,32467,MIA,"Miami, FL",FL,12,Florida,33,2026,1,1,1,L
0.00,0.00,0.00,0.00,5Y,20007,Atlas Air Inc.,06087,D,5Y,Atlas Air Inc.,3,3,10299,1029906,30299,ANC,"Anchorage, AK",AK,02,Alaska,1,10299,1029906,30299,ANC,"Anchorage, AK",AK,02,Alaska,1,2026,1,1,1,L
0.00,0.00,0.00,0.00,5Y,20007,Atlas Air Inc.,06087,D,5Y,Atlas Air Inc.,3,3,10299,1029906,30299,ANC,"Anchorage, AK",AK,02,Alaska,1,10299,1029906,30299,ANC,"Anchorage, AK",AK,02,Alaska,1,2026,1,2,1,L
0.00,0.00,0.00,0.00,5Y,20007,Atlas Air Inc.,06087,D,5Y,Atlas Air Inc.,3,3,10821,1082106,30852,BWI,"Baltimore, MD",MD,24,Maryland,35,10821,1082106,30852,BWI,"Baltimore, MD",MD,24,Maryland,35,2026,1,1,1,L
0.00,0.00,0.00,0.00,5Y,20007,Atlas Air Inc.,06087,D,5Y,Atlas Air Inc.,3,3,11487,1148703,30299,EDF,"Anchorage, AK",AK,02,Alaska,1,11487,1148703,30299,EDF,"Anchorage, AK",AK,02,Alaska,1,2026,1,2,1,P
0.00,0.00,0.00,0.00,5Y,20007,Atlas Air Inc.,06087,D,5Y,Atlas Air Inc.,3,3,12173,1217305,32134,HNL,"Honolulu, HI",HI,15,Hawaii,2,12173,1217305,32134,HNL,"Honolulu, HI",HI,15,Hawaii,2,2026,1,1,1,P
0.00,0.00,0.00,0.00,5Y,20007,Atlas Air Inc.,06087,D,5Y,Atlas Air Inc.,3,3,12892,1289209,32575,LAX,"Los Angeles, CA",CA,06,California,91,12892,1289209,32575,LAX,"Los Angeles, CA",CA,06,California,91,2026,1,1,1,P
0.00,0.00,0.00,0.00,5Y,20007,Atlas Air Inc.,06087,D,5Y,Atlas Air Inc.,3,3,12892,1289209,32575,LAX,"Los Angeles, CA",CA,06,California,91,12892,1289209,32575,LAX,"Los Angeles, CA",CA,06,California,91,2026,1,2,1,P
0.00,0.00,0.00,0.00,5Y,20007,Atlas Air Inc.,06087,D,5Y,Atlas Air Inc.,3,3,14747,1474703,30559,SEA,"Seattle, WA",WA,53,Washington,93,14747,1474703,30559,SEA,"Seattle, WA",WA,53,Washington,93,2026,1,2,1,L
0.00,0.00,0.00,0.00,7S,20330,Ryan Air f/k/a Arctic Transportation,06995,D,7S,Ryan Air f/k/a Arctic Transportation,1,5,10299,1029906,30299,ANC,"Anchorage, AK",AK,02,Alaska,1,10299,1029906,30299,ANC,"Anchorage, AK",AK,02,Alaska,1,2026,1,2,1,G
0.00,0.00,0.00,0.00,7S,20330,Ryan Air f/k/a Arctic Transportation,06995,D,7S,Ryan Air f/k/a Arctic Transportation,1,5,10551,1055102,30113,BET,"Bethel, AK",AK,02,Alaska,1,10551,1055102,30113,BET,"Bethel, AK",AK,02,Alaska,1,2026,1,1,1,G
0.00,0.00,0.00,0.00,7S,20330,Ryan Air f/k/a Arctic Transportation,06995,D,7S,Ryan Air f/k/a Arctic Transportation,1,5,10551,1055102,30113,BET,"Bethel, AK",AK,02,Alaska,1,10551,1055102,30113,BET,"Bethel, AK",AK,02,Alaska,1,2026,1,2,1,F
0.00,0.00,0.00,0.00,7S,20330,Ryan Air f/k/a Arctic Transportation,06995,D,7S,Ryan Air f/k/a Arctic Transportation,1,5,10551,1055102,30113,BET,"Bethel, AK",AK,02,Alaska,1,10551,1055102,30113,BET,"Bethel, AK",AK,02,Alaska,1,2026,1,2,1,G
